Well_ID;Treatment;N_souce;miRNA;Pair;Dose(uM);Time;OD_600
A1;plant_miRNA;Proline;5642b;1;2;11;0.223299995
A2;scrambled_miRNA;Proline;5642b;1;2;11;0.227500007
A4;N.A.;Proline;N.A.;2;N.A.;11;0.162599996
A5;plant_miRNA;Proline;5642b;3;2;11;0.243900001
B1;N.A.;Proline;N.A.;1;N.A.;11;0.0911
B3;scrambled_miRNA;Proline;5642b;2;2;11;0.186800003
B4;plant_miRNA;Proline;5642b;2;2;11;0.189199999
B5;scrambled_miRNA;Proline;5642b;3;2;11;0.215200007
B6;N.A.;Proline;N.A.;3;N.A.;11;0.086800002
C2;N.A.;Proline;N.A.;4;N.A.;11;0.168599993
C3;plant_miRNA;Proline;5642b;5;2;11;0.245100006
C4;scrambled_miRNA;Proline;5642b;5;2;11;0.222000003
D1;scrambled_miRNA;Proline;5642b;4;2;11;0.199399993
D2;plant_miRNA;Proline;5642b;4;2;11;0.217099994
D4;N.A.;Proline;N.A.;5;N.A.;11;0.116099998
A1;plant_miRNA;Proline;5642b;1;2;12;0.237000003
A2;scrambled_miRNA;Proline;5642b;1;2;12;0.237800002
A4;N.A.;Proline;N.A.;2;N.A.;12;0.163000003
A5;plant_miRNA;Proline;5642b;3;2;12;0.254599988
B1;N.A.;Proline;N.A.;1;N.A.;12;0.090700001
B3;scrambled_miRNA;Proline;5642b;2;2;12;0.195199996
B4;plant_miRNA;Proline;5642b;2;2;12;0.196999997
B5;scrambled_miRNA;Proline;5642b;3;2;12;0.224199995
B6;N.A.;Proline;N.A.;3;N.A.;12;0.086800002
C2;N.A.;Proline;N.A.;4;N.A.;12;0.168300003
C3;plant_miRNA;Proline;5642b;5;2;12;0.254200011
C4;scrambled_miRNA;Proline;5642b;5;2;12;0.228
D1;scrambled_miRNA;Proline;5642b;4;2;12;0.214200005
D2;plant_miRNA;Proline;5642b;4;2;12;0.2236
D4;N.A.;Proline;N.A.;5;N.A.;12;0.116300002
A1;plant_miRNA;Proline;5642b;1;2;13;0.242799997
A2;scrambled_miRNA;Proline;5642b;1;2;13;0.244399995
A4;N.A.;Proline;N.A.;2;N.A.;13;0.162799999
A5;plant_miRNA;Proline;5642b;3;2;13;0.266499996
B1;N.A.;Proline;N.A.;1;N.A.;13;0.090800002
B3;scrambled_miRNA;Proline;5642b;2;2;13;0.205699995
B4;plant_miRNA;Proline;5642b;2;2;13;0.208700001
B5;scrambled_miRNA;Proline;5642b;3;2;13;0.233999997
B6;N.A.;Proline;N.A.;3;N.A.;13;0.086599998
C2;N.A.;Proline;N.A.;4;N.A.;13;0.167699993
C3;plant_miRNA;Proline;5642b;5;2;13;0.262100011
C4;scrambled_miRNA;Proline;5642b;5;2;13;0.238999993
D1;scrambled_miRNA;Proline;5642b;4;2;13;0.228400007
D2;plant_miRNA;Proline;5642b;4;2;13;0.239299998
D4;N.A.;Proline;N.A.;5;N.A.;13;0.115000002
A1;plant_miRNA;Proline;5642b;1;2;14;0.254700005
A2;scrambled_miRNA;Proline;5642b;1;2;14;0.25
A4;N.A.;Proline;N.A.;2;N.A.;14;0.1646
A5;plant_miRNA;Proline;5642b;3;2;14;0.280200005
B1;N.A.;Proline;N.A.;1;N.A.;14;0.0911
B3;scrambled_miRNA;Proline;5642b;2;2;14;0.218600005
B4;plant_miRNA;Proline;5642b;2;2;14;0.2236
B5;scrambled_miRNA;Proline;5642b;3;2;14;0.246000007
B6;N.A.;Proline;N.A.;3;N.A.;14;0.086300001
C2;N.A.;Proline;N.A.;4;N.A.;14;0.168300003
C3;plant_miRNA;Proline;5642b;5;2;14;0.277700007
C4;scrambled_miRNA;Proline;5642b;5;2;14;0.254999995
D1;scrambled_miRNA;Proline;5642b;4;2;14;0.246000007
D2;plant_miRNA;Proline;5642b;4;2;14;0.258599997
D4;N.A.;Proline;N.A.;5;N.A.;14;0.114
A1;plant_miRNA;Proline;5642b;1;2;15;0.270799994
A2;scrambled_miRNA;Proline;5642b;1;2;15;0.2597
A4;N.A.;Proline;N.A.;2;N.A.;15;0.162400007
A5;plant_miRNA;Proline;5642b;3;2;15;0.301699996
B1;N.A.;Proline;N.A.;1;N.A.;15;0.092399999
B3;scrambled_miRNA;Proline;5642b;2;2;15;0.2491
B4;plant_miRNA;Proline;5642b;2;2;15;0.244399995
B5;scrambled_miRNA;Proline;5642b;3;2;15;0.264600009
B6;N.A.;Proline;N.A.;3;N.A.;15;0.087499999
C2;N.A.;Proline;N.A.;4;N.A.;15;0.170900002
C3;plant_miRNA;Proline;5642b;5;2;15;0.307900012
C4;scrambled_miRNA;Proline;5642b;5;2;15;0.272899985
D1;scrambled_miRNA;Proline;5642b;4;2;15;0.272599995
D2;plant_miRNA;Proline;5642b;4;2;15;0.277999997
D4;N.A.;Proline;N.A.;5;N.A.;15;0.114500001
A1;plant_miRNA;Proline;5642b;1;2;16;0.285100013
A2;scrambled_miRNA;Proline;5642b;1;2;16;0.271200001
A4;N.A.;Proline;N.A.;2;N.A.;16;0.164100006
A5;plant_miRNA;Proline;5642b;3;2;16;0.321700007
B1;N.A.;Proline;N.A.;1;N.A.;16;0.091899998
B3;scrambled_miRNA;Proline;5642b;2;2;16;0.274300009
B4;plant_miRNA;Proline;5642b;2;2;16;0.275099993
B5;scrambled_miRNA;Proline;5642b;3;2;16;0.279599994
B6;N.A.;Proline;N.A.;3;N.A.;16;0.086599998
C2;N.A.;Proline;N.A.;4;N.A.;16;0.169300005
C3;plant_miRNA;Proline;5642b;5;2;16;0.335500002
C4;scrambled_miRNA;Proline;5642b;5;2;16;0.296600014
D1;scrambled_miRNA;Proline;5642b;4;2;16;0.299199998
D2;plant_miRNA;Proline;5642b;4;2;16;0.308099985
D4;N.A.;Proline;N.A.;5;N.A.;16;0.114399999
A1;plant_miRNA;Proline;5642b;1;2;17;0.295100003
A2;scrambled_miRNA;Proline;5642b;1;2;17;0.283199996
