Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
C6	N.A.	mix17AA	N.A.	5	N.A.	5	0.111400001
D3	scrambled_miRNA	mix17AA	ath827	4	2	5	0.197699994
D4	plant_miRNA	mix17AA	ath827	4	2	5	0.196199998
D5	scrambled_miRNA	mix17AA	ath827	5	2	5	0.185699999
D6	plant_miRNA	mix17AA	ath827	5	2	5	0.206699997
A1	No_miRNA	mix17AA	N.A.	1	N.A.	6	0.246900007
A2	N.A.	mix17AA	N.A.	1	N.A.	6	0.116300002
A3	scrambled_miRNA	mix17AA	ath827	2	2	6	0.254500002
A4	plant_miRNA	mix17AA	ath827	2	2	6	0.246099994
A5	N.A.	mix17AA	N.A.	3	N.A.	6	0.118699998
A6	No_miRNA	mix17AA	N.A.	3	N.A.	6	0.246800005
B1	plant_miRNA	mix17AA	ath827	1	2	6	0.215700001
B2	scrambled_miRNA	mix17AA	ath827	1	2	6	0.221799999
B3	No_miRNA	mix17AA	N.A.	2	N.A.	6	0.217199996
B4	N.A.	mix17AA	N.A.	2	N.A.	6	0.085100003
B5	plant_miRNA	mix17AA	ath827	3	2	6	0.207900003
B6	scrambled_miRNA	mix17AA	ath827	3	2	6	0.217399999
C3	N.A.	mix17AA	N.A.	4	N.A.	6	0.124499999
C4	No_miRNA	mix17AA	N.A.	4	N.A.	6	0.245800003
C5	No_miRNA	mix17AA	N.A.	5	N.A.	6	0.247799993
C6	N.A.	mix17AA	N.A.	5	N.A.	6	0.115900002
D3	scrambled_miRNA	mix17AA	ath827	4	2	6	0.217099994
D4	plant_miRNA	mix17AA	ath827	4	2	6	0.218999997
D5	scrambled_miRNA	mix17AA	ath827	5	2	6	0.207800001
D6	plant_miRNA	mix17AA	ath827	5	2	6	0.221699998
A1	No_miRNA	mix17AA	N.A.	1	N.A.	7	0.249200001
A2	N.A.	mix17AA	N.A.	1	N.A.	7	0.1162
A3	scrambled_miRNA	mix17AA	ath827	2	2	7	0.262400001
A4	plant_miRNA	mix17AA	ath827	2	2	7	0.256399989
A5	N.A.	mix17AA	N.A.	3	N.A.	7	0.118799999
A6	No_miRNA	mix17AA	N.A.	3	N.A.	7	0.254799992
B1	plant_miRNA	mix17AA	ath827	1	2	7	0.222399995
B2	scrambled_miRNA	mix17AA	ath827	1	2	7	0.228599995
B3	No_miRNA	mix17AA	N.A.	2	N.A.	7	0.222399995
B4	N.A.	mix17AA	N.A.	2	N.A.	7	0.083999999
B5	plant_miRNA	mix17AA	ath827	3	2	7	0.214499995
B6	scrambled_miRNA	mix17AA	ath827	3	2	7	0.226199999
C3	N.A.	mix17AA	N.A.	4	N.A.	7	0.123599999
C4	No_miRNA	mix17AA	N.A.	4	N.A.	7	0.253899992
C5	No_miRNA	mix17AA	N.A.	5	N.A.	7	0.253100008
