Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
G7	scrambled_miRNA	mix17AA	ath158b	3	2	1	0.0932
G8	N.A.	mix17AA	N.A.	4	N.A.	1	0.0869
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	1	0.0953
G10	plant_miRNA	mix17AA	aof159	5	2	1	0.0966
G11	scrambled_miRNA	mix17AA	ath827	5	2	1	0.1027
B2	scrambled_miRNA	mix17AA	aof159	1	2	2	0.1077
B3	plant_miRNA	mix17AA	ath5642b	1	2	2	0.1043
B4	N.A.	mix17AA	N.A.	2	N.A.	2	0.085
B5	plant_miRNA	mix17AA	ath158a3p	2	2	2	0.1083
B6	plant_miRNA	mix17AA	ath827	3	2	2	0.1109
B7	plant_miRNA	mix17AA	aof159	3	2	2	0.1121
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	2	0.1087
B9	scrambled_miRNA	mix17AA	ath827	4	2	2	0.1071
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	2	0.1081
B11	plant_miRNA	mix17AA	ath158b	5	2	2	0.11
C2	plant_miRNA	mix17AA	aof159	1	2	2	0.1064
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	2	0.1106
C4	N.A.	mix17AA	N.A.	2	N.A.	2	0.0888
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	2	0.1072
C6	scrambled_miRNA	mix17AA	ath827	3	2	2	0.1117
C7	scrambled_miRNA	mix17AA	aof159	3	2	2	0.1085
C8	plant_miRNA	mix17AA	ath158a3p	4	2	2	0.1088
C9	plant_miRNA	mix17AA	ath827	4	2	2	0.1109
C10	plant_miRNA	mix17AA	ath5642b	5	2	2	0.1085
C11	scrambled_miRNA	mix17AA	ath158b	5	2	2	0.1109
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	2	0.1142
D3	plant_miRNA	mix17AA	ath158b	1	2	2	0.1094
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	2	0.1061
D5	plant_miRNA	mix17AA	ath827	2	2	2	0.109
D6	N.A.	mix17AA	N.A.	3	N.A.	2	0.092
D7	plant_miRNA	mix17AA	ath5642b	3	2	2	0.1106
D8	plant_miRNA	mix17AA	aof159	4	2	2	0.1104
D9	scrambled_miRNA	mix17AA	ath158b	4	2	2	0.1077
D10	plant_miRNA	mix17AA	ath158a3p	5	2	2	0.1074
D11	N.A.	mix17AA	N.A.	5	N.A.	2	0.0865
E2	plant_miRNA	mix17AA	ath158a3p	1	2	2	0.1051
E3	scrambled_miRNA	mix17AA	ath158b	1	2	2	0.1093
E4	plant_miRNA	mix17AA	ath5642b	2	2	2	0.1154
E5	scrambled_miRNA	mix17AA	ath827	2	2	2	0.1115
E6	N.A.	mix17AA	N.A.	3	N.A.	2	0.1036
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	2	0.1119
E8	scrambled_miRNA	mix17AA	aof159	4	2	2	0.1083
E9	plant_miRNA	mix17AA	ath158b	4	2	2	0.1171
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	2	0.1089
E11	N.A.	mix17AA	N.A.	5	N.A.	2	0.0863
