Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	10	0.0856	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	10	0.0968	
G2	plant_miRNA	L-Arginine	mix_5	1	10	10	0.4908	
G3	plant_miRNA	L-Histidine	mix_5	1	10	10	0.2929	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	10	0.6757	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	10	0.7238	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	10	0.1353	
G7	plant_miRNA	L-Alanine	mix_5	3	10	10	0.4939	
G8	plant_miRNA	L-Alanine	mix_5	4	10	10	0.4961	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	10	0.4692	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	10	0.6691	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	10	0.1494	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	10	0.0966	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	10	0.0817	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	10	0.0844	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	10	0.0978	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	10	0.1175	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	10	0.0997	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	10	0.087	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	11	0.0924	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	11	0.0921	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	11	0.0928	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	11	0.0931	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	11	0.0876	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	11	0.0851	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	11	0.0919	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	11	0.5968	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	11	0.6247	
B4	plant_miRNA	L-Histidine	mix_5	2	10	11	0.4214	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	11	0.4797	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	11	0.5755	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	11	0.6335	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	11	0.1783	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	11	0.5961	
B10	plant_miRNA	L-Arginine	mix_5	5	10	11	0.5808	
B11	plant_miRNA	L-Histidine	mix_5	5	10	11	0.3391	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	11	0.18	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	11	0.0926	
C2	plant_miRNA	L-Alanine	mix_5	1	10	11	0.5505	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	11	0.7019	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	11	0.3301	
C5	plant_miRNA	L-Arginine	mix_5	2	10	11	0.4956	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	11	0.5514	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	11	0.6288	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	11	0.1628	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	11	0.565	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	11	0.5818	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	11	0.3482	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	11	0.0812	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	11	0.0866	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	11	0.1849	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	11	0.7732	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	11	0.4554	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	11	0.1854	
D6	plant_miRNA	L-Arginine	mix_5	3	10	11	0.5224	
D7	plant_miRNA	L-Histidine	mix_5	3	10	11	0.2982	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	11	0.3447	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	11	0.7727	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	11	0.8222	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	11	0.5626	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	11	0.0874	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	11	0.0914	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	11	0.1709	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	11	0.8396	
E4	plant_miRNA	L-Alanine	mix_5	2	10	11	0.5989	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	11	0.1603	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	11	0.5937	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	11	0.3466	
E8	plant_miRNA	L-Histidine	mix_5	4	10	11	0.3357	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	11	0.8045	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	11	0.8097	
E11	plant_miRNA	L-Alanine	mix_5	5	10	11	0.5646	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	11	0.0832	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	11	0.0981	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	11	0.6602	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	11	0.3593	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	11	0.7732	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	11	0.8285	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	11	0.175	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	11	0.5753	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	11	0.5979	
F9	plant_miRNA	L-Arginine	mix_5	4	10	11	0.5786	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	11	0.7275	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	11	0.1671	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	11	0.0855	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	11	0.0926	
G2	plant_miRNA	L-Arginine	mix_5	1	10	11	0.6588	
G3	plant_miRNA	L-Histidine	mix_5	1	10	11	0.3479	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	11	0.7843	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	11	0.8562	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	11	0.1533	
G7	plant_miRNA	L-Alanine	mix_5	3	10	11	0.5886	
G8	plant_miRNA	L-Alanine	mix_5	4	10	11	0.5905	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	11	0.6032	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	11	0.7916	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	11	0.1724	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	11	0.0864	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	11	0.082	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	11	0.0844	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	11	0.1017	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	11	0.0889	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	11	0.0997	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	11	0.0908	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	12	0.092	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	12	0.0923	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	12	0.0928	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	12	0.093	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	12	0.0877	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	12	0.0864	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	12	0.0917	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	12	0.7237	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	12	0.7485	
B4	plant_miRNA	L-Histidine	mix_5	2	10	12	0.5312	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	12	0.6053	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	12	0.6231	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	12	0.7624	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	12	0.208	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	12	0.7018	
B10	plant_miRNA	L-Arginine	mix_5	5	10	12	0.725	
B11	plant_miRNA	L-Histidine	mix_5	5	10	12	0.3929	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	12	0.193	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	12	0.0927	
C2	plant_miRNA	L-Alanine	mix_5	1	10	12	0.6707	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	12	0.7907	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	12	0.4322	
C5	plant_miRNA	L-Arginine	mix_5	2	10	12	0.6144	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	12	0.614	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	12	0.7344	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	12	0.2113	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	12	0.621	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	12	0.737	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	12	0.4016	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	12	0.0817	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	12	0.0866	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	12	0.2198	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	12	0.9399	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	12	0.524	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	12	0.2152	
D6	plant_miRNA	L-Arginine	mix_5	3	10	12	0.6665	
D7	plant_miRNA	L-Histidine	mix_5	3	10	12	0.3495	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	12	0.3971	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	12	0.8926	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	12	0.964	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	12	0.672	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	12	0.0872	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	12	0.0888	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	12	0.2025	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	12	0.9609	
E4	plant_miRNA	L-Alanine	mix_5	2	10	12	0.7147	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	12	0.1858	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	12	0.7619	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	12	0.4067	
E8	plant_miRNA	L-Histidine	mix_5	4	10	12	0.3949	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	12	0.9533	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	12	0.9228	
E11	plant_miRNA	L-Alanine	mix_5	5	10	12	0.6715	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	12	0.0833	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	12	0.0934	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	12	0.9894	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	12	0.4249	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	12	0.8844	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	12	0.9872	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	12	0.2057	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	12	0.6868	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	12	0.7257	
F9	plant_miRNA	L-Arginine	mix_5	4	10	12	0.7208	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	12	0.8373	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	12	0.1911	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	12	0.0857	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	12	0.0938	
G2	plant_miRNA	L-Arginine	mix_5	1	10	12	1.0046	
G3	plant_miRNA	L-Histidine	mix_5	1	10	12	0.4153	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	12	0.9142	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	12	0.9637	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	12	0.1812	
G7	plant_miRNA	L-Alanine	mix_5	3	10	12	0.6916	
G8	plant_miRNA	L-Alanine	mix_5	4	10	12	0.6969	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	12	0.7406	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	12	0.9142	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	12	0.2048	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	12	0.0884	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	12	0.082	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	12	0.0836	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	12	0.1224	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	12	0.1077	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	12	0.0997	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	12	0.0893	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	13	0.092	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	13	0.0922	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	13	0.0928	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	13	0.093	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	13	0.0876	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	13	0.0876	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	13	0.0916	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	13	0.846	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	13	0.8462	
B4	plant_miRNA	L-Histidine	mix_5	2	10	13	0.5839	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	13	1.0885	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	13	0.6738	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	13	0.9578	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	13	0.2441	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	13	0.7458	
B10	plant_miRNA	L-Arginine	mix_5	5	10	13	1.1437	
B11	plant_miRNA	L-Histidine	mix_5	5	10	13	0.4568	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	13	0.196	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	13	0.0931	
C2	plant_miRNA	L-Alanine	mix_5	1	10	13	0.7984	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	13	0.8863	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	13	0.5236	
C5	plant_miRNA	L-Arginine	mix_5	2	10	13	1.0152	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	13	0.6503	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	13	0.8426	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	13	0.2323	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	13	0.6893	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	13	1.1505	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	13	0.465	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	13	0.0817	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	13	0.0867	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	13	0.2624	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	13	1.2447	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	13	0.637	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	13	0.2535	
D6	plant_miRNA	L-Arginine	mix_5	3	10	13	1.1535	
D7	plant_miRNA	L-Histidine	mix_5	3	10	13	0.435	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	13	0.462	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	13	0.9832	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	13	1.0702	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	13	0.7824	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	13	0.0872	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	13	0.0915	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	13	0.2468	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	13	1.1537	
E4	plant_miRNA	L-Alanine	mix_5	2	10	13	0.8404	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	13	0.2253	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	13	1.1882	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	13	0.4812	
E8	plant_miRNA	L-Histidine	mix_5	4	10	13	0.4681	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	13	1.0855	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	13	1.0089	
E11	plant_miRNA	L-Alanine	mix_5	5	10	13	0.7889	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	13	0.0835	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	13	0.103	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	13	1.4684	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	13	0.4969	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	13	1.0019	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	13	1.301	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	13	0.2408	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	13	0.7919	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	13	0.8498	
F9	plant_miRNA	L-Arginine	mix_5	4	10	13	1.0994	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	13	0.952	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	13	0.2206	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	13	0.086	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	13	0.0985	
G2	plant_miRNA	L-Arginine	mix_5	1	10	13	1.4623	
G3	plant_miRNA	L-Histidine	mix_5	1	10	13	0.4885	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	13	1.0285	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	13	1.1147	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	13	0.219	
G7	plant_miRNA	L-Alanine	mix_5	3	10	13	0.8	
G8	plant_miRNA	L-Alanine	mix_5	4	10	13	0.8128	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	13	1.1081	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	13	1.0397	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	13	0.256	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	13	0.0866	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	13	0.0821	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	13	0.0827	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	13	0.1193	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	13	0.0867	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	13	0.0996	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	13	0.0887	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	14	0.0921	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	14	0.0922	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	14	0.0928	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	14	0.0929	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	14	0.0874	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	14	0.0846	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	14	0.0915	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	14	0.937	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	14	1.0283	
B4	plant_miRNA	L-Histidine	mix_5	2	10	14	0.6063	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	14	1.322	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	14	0.7567	
B7	plant_miRNA	L-Aspartic_acid	mix_5	3	10	14	1.3325	
B8	plant_miRNA	L-Cysteine	mix_5	4	10	14	0.2918	
B9	scrambled_miRNA	L-Glutamic_acid	mix_5	4	10	14	0.8303	
B10	plant_miRNA	L-Arginine	mix_5	5	10	14	1.3343	
B11	plant_miRNA	L-Histidine	mix_5	5	10	14	0.5331	
B12	N.A.	L-Cysteine	N.A.	N.A.	N.A.	14	0.1986	
C1	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	14	0.0933	
C2	plant_miRNA	L-Alanine	mix_5	1	10	14	0.9333	
C3	scrambled_miRNA	L-Glutamic_acid	mix_5	1	10	14	0.9479	
C4	scrambled_miRNA	L-Histidine	mix_5	2	10	14	0.5728	
C5	plant_miRNA	L-Arginine	mix_5	2	10	14	1.2863	
C6	scrambled_miRNA	L-Glutamic_acid	mix_5	3	10	14	0.7643	
C7	scrambled_miRNA	L-Aspartic_acid	mix_5	3	10	14	1.1248	
C8	scrambled_miRNA	L-Cysteine	mix_5	4	10	14	0.2849	
C9	plant_miRNA	L-Glutamic_acid	mix_5	4	10	14	0.7178	
C10	scrambled_miRNA	L-Arginine	mix_5	5	10	14	1.3475	
C11	scrambled_miRNA	L-Histidine	mix_5	5	10	14	0.5354	
C12	N.A.	L-Alanine	N.A.	N.A.	N.A.	14	0.0814	
D1	N.A.	L-Histidine	N.A.	N.A.	N.A.	14	0.0866	
D2	plant_miRNA	L-Cysteine	mix_5	1	10	14	0.3162	
D3	plant_miRNA	L-Aspartic_acid	mix_5	1	10	14	1.7603	
D4	scrambled_miRNA	L-Alanine	mix_5	2	10	14	0.776	
D5	plant_miRNA	L-Cysteine	mix_5	2	10	14	0.3009	
D6	plant_miRNA	L-Arginine	mix_5	3	10	14	1.3679	
D7	plant_miRNA	L-Histidine	mix_5	3	10	14	0.4708	
D8	scrambled_miRNA	L-Histidine	mix_5	4	10	14	0.5269	
D9	scrambled_miRNA	L-Aspartic_acid	mix_5	4	10	14	1.2162	
D10	plant_miRNA	L-Aspartic_acid	mix_5	5	10	14	1.2972	
D11	scrambled_miRNA	L-Alanine	mix_5	5	10	14	0.8885	
D12	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	14	0.0873	
E1	N.A.	L-Alanine	N.A.	N.A.	N.A.	14	0.0862	
E2	scrambled_miRNA	L-Cysteine	mix_5	1	10	14	0.3109	
E3	scrambled_miRNA	L-Aspartic_acid	mix_5	1	10	14	1.4787	
E4	plant_miRNA	L-Alanine	mix_5	2	10	14	0.9387	
E5	scrambled_miRNA	L-Cysteine	mix_5	2	10	14	0.2786	
E6	scrambled_miRNA	L-Arginine	mix_5	3	10	14	1.4151	
E7	scrambled_miRNA	L-Histidine	mix_5	3	10	14	0.567	
E8	plant_miRNA	L-Histidine	mix_5	4	10	14	0.5493	
E9	plant_miRNA	L-Aspartic_acid	mix_5	4	10	14	1.3422	
E10	scrambled_miRNA	L-Aspartic_acid	mix_5	5	10	14	1.2034	
E11	plant_miRNA	L-Alanine	mix_5	5	10	14	0.9225	
E12	N.A.	L-Arginine	N.A.	N.A.	N.A.	14	0.0834	
F1	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	14	0.1077	
F2	scrambled_miRNA	L-Arginine	mix_5	1	10	14	1.7167	
F3	scrambled_miRNA	L-Histidine	mix_5	1	10	14	0.5658	
F4	plant_miRNA	L-Glutamic_acid	mix_5	2	10	14	1.0889	
F5	plant_miRNA	L-Aspartic_acid	mix_5	2	10	14	1.6433	
F6	plant_miRNA	L-Cysteine	mix_5	3	10	14	0.2902	
F7	scrambled_miRNA	L-Alanine	mix_5	3	10	14	0.8907	
F8	scrambled_miRNA	L-Alanine	mix_5	4	10	14	0.9491	
F9	plant_miRNA	L-Arginine	mix_5	4	10	14	1.3484	
F10	scrambled_miRNA	L-Glutamic_acid	mix_5	5	10	14	1.065	
F11	scrambled_miRNA	L-Cysteine	mix_5	5	10	14	0.2759	
F12	N.A.	L-Histidine	N.A.	N.A.	N.A.	14	0.0857	
G1	N.A.	L-Arginine	N.A.	N.A.	N.A.	14	0.0934	
G2	plant_miRNA	L-Arginine	mix_5	1	10	14	1.7268	
G3	plant_miRNA	L-Histidine	mix_5	1	10	14	0.6038	
G4	scrambled_miRNA	L-Glutamic_acid	mix_5	2	10	14	1.0793	
G5	scrambled_miRNA	L-Aspartic_acid	mix_5	2	10	14	1.3892	
G6	scrambled_miRNA	L-Cysteine	mix_5	3	10	14	0.2956	
G7	plant_miRNA	L-Alanine	mix_5	3	10	14	0.9299	
G8	plant_miRNA	L-Alanine	mix_5	4	10	14	0.9483	
G9	scrambled_miRNA	L-Arginine	mix_5	4	10	14	1.3624	
G10	plant_miRNA	L-Glutamic_acid	mix_5	5	10	14	1.1353	
G11	plant_miRNA	L-Cysteine	mix_5	5	10	14	0.291	
G12	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	14	0.0866	
H4	N.A.	L-Histidine	N.A.	N.A.	N.A.	14	0.0819	
H5	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	14	0.0883	
H6	N.A.	L-Cysteine	N.A.	N.A.	N.A.	14	0.119	
H7	N.A.	L-Arginine	N.A.	N.A.	N.A.	14	0.0873	
H8	N.A.	L-Alanine	N.A.	N.A.	N.A.	14	0.0996	
H10	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	14	0.0893	
A4	N.A.	L-Alanine	N.A.	N.A.	N.A.	15	0.0922	
A5	N.A.	L-Glutamic_acid	N.A.	N.A.	N.A.	15	0.0923	
A6	N.A.	L-Arginine	N.A.	N.A.	N.A.	15	0.0929	
A7	N.A.	L-Aspartic_acid	N.A.	N.A.	N.A.	15	0.0929	
A8	N.A.	L-Histidine	N.A.	N.A.	N.A.	15	0.0872	
A9	N.A.	L-Cysteine	N.A.	N.A.	N.A.	15	0.0848	
B1	N.A.	L-Cysteine	N.A.	N.A.	N.A.	15	0.0916	
B2	scrambled_miRNA	L-Alanine	mix_5	1	10	15	1.0313	
B3	plant_miRNA	L-Glutamic_acid	mix_5	1	10	15	1.1017	
B4	plant_miRNA	L-Histidine	mix_5	2	10	15	0.7515	
B5	scrambled_miRNA	L-Arginine	mix_5	2	10	15	1.4945	
B6	plant_miRNA	L-Glutamic_acid	mix_5	3	10	15	0.7714	
