Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
H6	N.A.	L-Valine	N.A.	N.A.	N.A.	2	0.076800004
H7	N.A.	Mix17	N.A.	N.A.	N.A.	2	0.0744
H8	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	2	0.072899997
H10	N.A.	L-Serine	N.A.	N.A.	N.A.	2	0.0678
A3	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	3	0.090599999
A4	N.A.	L-Threonine	N.A.	N.A.	N.A.	3	0.0977
A5	N.A.	L-Serine	N.A.	N.A.	N.A.	3	0.094899997
A6	N.A.	L-Leucine	N.A.	N.A.	N.A.	3	0.092900001
A7	N.A.	L-Valine	N.A.	N.A.	N.A.	3	0.099399999
A8	N.A.	Mix17	N.A.	N.A.	N.A.	3	0.090400003
B1	N.A.	L-Phenylalanine	N.A.	N.A.	N.A.	3	0.081299998
B2	plant_miRNA	L-Valine	mix_5	1	10	3	0.114399999
B3	scrambled_miRNA	L-Leucine	mix_5	1	10	3	0.1043
B4	plant_miRNA	L-Serine	mix_5	2	10	3	0.103299998
B5	scrambled_miRNA	L-Threonine	mix_5	2	10	3	0.098700002
B6	scrambled_miRNA	L-Phenylalanine	mix_5	3	10	3	0.101199999
B7	plant_miRNA	Mix17	mix_5	3	10	3	0.130500004
B8	plant_miRNA	Mix17	mix_5	4	10	3	0.129600003
B9	plant_miRNA	L-Valine	mix_5	4	10	3	0.103
B10	scrambled_miRNA	L-Serine	mix_5	5	10	3	0.104400001
B11	scrambled_miRNA	L-Phenylalanine	mix_5	5	10	3	0.102799997
B12	N.A.	L-Leucine	N.A.	N.A.	N.A.	3	0.084899999
C1	N.A.	L-Threonine	N.A.	N.A.	N.A.	3	0.0748
C2	scrambled_miRNA	L-Valine	mix_5	1	10	3	0.094099998
C3	plant_miRNA	L-Leucine	mix_5	1	10	3	0.097900003
C4	scrambled_miRNA	L-Serine	mix_5	2	10	3	0.096100003
C5	plant_miRNA	L-Threonine	mix_5	2	10	3	0.089500003
C6	plant_miRNA	L-Phenylalanine	mix_5	3	10	3	0.098499998
C7	scrambled_miRNA	Mix17	mix_5	3	10	3	0.106200002
C8	scrambled_miRNA	Mix17	mix_5	4	10	3	0.109099999
C9	scrambled_miRNA	L-Valine	mix_5	4	10	3	0.093599997
C10	plant_miRNA	L-Serine	mix_5	5	10	3	0.088299997
C11	plant_miRNA	L-Phenylalanine	mix_5	5	10	3	0.0942
C12	N.A.	L-Valine	N.A.	N.A.	N.A.	3	0.081600003
D1	N.A.	L-Leucine	N.A.	N.A.	N.A.	3	0.0788
D2	scrambled_miRNA	L-Serine	mix_5	1	10	3	0.094999999
D3	scrambled_miRNA	L-Phenylalanine	mix_5	1	10	3	0.103600003
D4	scrambled_miRNA	L-Phenylalanine	mix_5	2	10	3	0.100199997
D5	plant_miRNA	L-Valine	mix_5	2	10	3	0.0977
D6	plant_miRNA	L-Leucine	mix_5	3	10	3	0.094400004
D7	plant_miRNA	L-Serine	mix_5	3	10	3	0.093199998
D8	scrambled_miRNA	L-Threonine	mix_5	4	10	3	0.093400002
D9	scrambled_miRNA	L-Leucine	mix_5	4	10	3	0.095399998
D10	plant_miRNA	L-Threonine	mix_5	5	10	3	0.093199998
D11	plant_miRNA	Mix17	mix_5	5	10	3	0.131200001
D12	N.A.	L-Threonine	N.A.	N.A.	N.A.	3	0.078299999
E1	N.A.	L-Valine	N.A.	N.A.	N.A.	3	0.094800003
E2	plant_miRNA	L-Serine	mix_5	1	10	3	0.106899999
E3	plant_miRNA	L-Phenylalanine	mix_5	1	10	3	0.104500003
E4	plant_miRNA	L-Phenylalanine	mix_5	2	10	3	0.111000001
E5	scrambled_miRNA	L-Valine	mix_5	2	10	3	0.107199997
E6	scrambled_miRNA	L-Leucine	mix_5	3	10	3	0.102799997
E7	scrambled_miRNA	L-Serine	mix_5	3	10	3	0.114399999
E8	plant_miRNA	L-Threonine	mix_5	4	10	3	0.106799997
E9	plant_miRNA	L-Leucine	mix_5	4	10	3	0.113899998
E10	scrambled_miRNA	L-Threonine	mix_5	5	10	3	0.106799997
E11	scrambled_miRNA	Mix17	mix_5	5	10	3	0.133200005
E12	N.A.	L-Serine	N.A.	N.A.	N.A.	3	0.091499999
F1	N.A.	Mix17	N.A.	N.A.	N.A.	3	0.083099999
F2	plant_miRNA	L-Threonine	mix_5	1	10	3	0.107600003
F3	scrambled_miRNA	Mix17	mix_5	1	10	3	0.1206
F4	plant_miRNA	L-Leucine	mix_5	2	10	3	0.101599999
F5	plant_miRNA	Mix17	mix_5	2	10	3	0.139500007
F6	plant_miRNA	L-Valine	mix_5	3	10	3	0.1096
F7	scrambled_miRNA	L-Threonine	mix_5	3	10	3	0.098200001
