Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
C2	scrambled_miRNA	L-Isoleucine	mix_5	1	10	1	0.1024
C3	scrambled_miRNA	L-Tryptophan	mix_5	1	10	1	0.0941
C4	plant_miRNA	Glycine	mix_5	2	10	1	0.1032
C5	scrambled_miRNA	L-Lysine	mix_5	2	10	1	0.0917
C6	plant_miRNA	L-Methionine	mix_5	3	10	1	0.0953
C7	scrambled_miRNA	Glycine	mix_5	3	10	1	0.0945
C8	plant_miRNA	L-Tryptophan	mix_5	4	10	1	0.0939
C9	scrambled_miRNA	L-Proline	mix_5	4	10	1	0.093
C10	plant_miRNA	L-Lysine	mix_5	5	10	1	0.0946
C11	plant_miRNA	L-Isoleucine	mix_5	5	10	1	0.0957
C12	N.A.	Glycine	N.A.	N.A.	N.A.	1	0.0855
D1	N.A.	L-Methionine	N.A.	N.A.	N.A.	1	0.0832
D2	plant_miRNA	L-Methionine	mix_5	1	10	1	0.0911
D3	plant_miRNA	Glycine	mix_5	1	10	1	0.0947
D4	plant_miRNA	L-Proline	mix_5	2	10	1	0.0964
D5	scrambled_miRNA	L-Methionine	mix_5	2	10	1	0.0991
D6	scrambled_miRNA	L-Isoleucine	mix_5	3	10	1	0.0973
D7	plant_miRNA	L-Tryptophan	mix_5	3	10	1	0.1029
D8	scrambled_miRNA	L-Lysine	mix_5	4	10	1	0.0974
D9	plant_miRNA	L-Isoleucine	mix_5	4	10	1	0.0968
D10	scrambled_miRNA	Glycine	mix_5	5	10	1	0.0983
D11	scrambled_miRNA	L-Proline	mix_5	5	10	1	0.0976
D12	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	1	0.0882
E1	N.A.	L-Lysine	N.A.	N.A.	N.A.	1	0.0853
E2	scrambled_miRNA	L-Methionine	mix_5	1	10	1	0.0935
E3	scrambled_miRNA	Glycine	mix_5	1	10	1	0.0906
E4	scrambled_miRNA	L-Proline	mix_5	2	10	1	0.0934
E5	plant_miRNA	L-Methionine	mix_5	2	10	1	0.0936
E6	plant_miRNA	L-Isoleucine	mix_5	3	10	1	0.0918
E7	scrambled_miRNA	L-Tryptophan	mix_5	3	10	1	0.0969
