Well_ID	Pair	miRNA	Treatment	Time	OD600
B2	D	Mix5	Plant	3	0.264
B3	D	Ctl-1	NA	3	0.078
B4	D	ath-miR158b	Plant	3	0.272
B5	D	ath-miR158b	Scramble	3	0.285
B6	D	Ctl-2	NA	3	0.084
C2	D	ath-miR158a3p	Scramble	3	0.265
C3	D	ath-miR158a3p	Plant	3	0.266
C5	D	ath-miR5642b	Scramble	3	0.251
C6	D	ath-miR5642b	Plant	3	0.25
D3	D	ath-miR827	Scramble	3	0.247
D4	D	ath-miR827	Plant	3	0.245
A2	D	ath-miR159	Plant	6	0.309
A3	D	ath-miR159	Scramble	6	0.305
B1	D	Mix5	Scramble	6	0.379
B2	D	Mix5	Plant	6	0.374
B3	D	Ctl-1	NA	6	0.076
B4	D	ath-miR158b	Plant	6	0.407
B5	D	ath-miR158b	Scramble	6	0.418
B6	D	Ctl-2	NA	6	0.067
C2	D	ath-miR158a3p	Scramble	6	0.408
C3	D	ath-miR158a3p	Plant	6	0.408
C5	D	ath-miR5642b	Scramble	6	0.414
C6	D	ath-miR5642b	Plant	6	0.349
D3	D	ath-miR827	Scramble	6	0.254
D4	D	ath-miR827	Plant	6	0.401
A2	D	ath-miR159	Plant	24	0.347
A3	D	ath-miR159	Scramble	24	0.371
B1	D	Mix5	Scramble	24	0.507
B2	D	Mix5	Plant	24	0.294
B3	D	Ctl-1	NA	24	0.075
B4	D	ath-miR158b	Plant	24	0.309
B5	D	ath-miR158b	Scramble	24	0.293
B6	D	Ctl-2	NA	24	0.08
C2	D	ath-miR158a3p	Scramble	24	0.308
C3	D	ath-miR158a3p	Plant	24	0.299
C5	D	ath-miR5642b	Scramble	24	0.296
C6	D	ath-miR5642b	Plant	24	0.344
D3	D	ath-miR827	Scramble	24	0.317
D4	D	ath-miR827	Plant	24	0.279
A3	E	ath-miR827	Plant	0	0.131
A4	E	ath-miR827	Scramble	0	0.132
A5	E	Ctl-2	NA	0	0.084
B1	E	ath-miR5642b	Scramble	0	0.13
B2	E	ath-miR5642b	Plant	0	0.131
B5	E	ath-miR159	Plant	0	0.131
B6	E	ath-miR159	Scramble	0	0.125
C2	E	ath-miR158b	Plant	0	0.128
C3	E	ath-miR158b	Scramble	0	0.127
C5	E	Mix5	Scramble	0	0.136
C6	E	Mix5	Plant	0	0.14
D1	E	Ctl-1	NA	0	0.099
D3	E	ath-miR158a3p	Plant	0	0.129
D4	E	ath-miR158a3p	Scramble	0	0.128
A3	E	ath-miR827	Plant	3	0.227
A4	E	ath-miR827	Scramble	3	0.198
A5	E	Ctl-2	NA	3	0.078
B1	E	ath-miR5642b	Scramble	3	0.293
B2	E	ath-miR5642b	Plant	3	0.269
B5	E	ath-miR159	Plant	3	0.289
B6	E	ath-miR159	Scramble	3	0.295
C2	E	ath-miR158b	Plant	3	0.247
C3	E	ath-miR158b	Scramble	3	0.238
C5	E	Mix5	Scramble	3	0.251
C6	E	Mix5	Plant	3	0.257
D1	E	Ctl-1	NA	3	0.093
D3	E	ath-miR158a3p	Plant	3	0.241
D4	E	ath-miR158a3p	Scramble	3	0.246
A3	E	ath-miR827	Plant	6	0.276
A4	E	ath-miR827	Scramble	6	0.265
A5	E	Ctl-2	NA	6	0.077
B1	E	ath-miR5642b	Scramble	6	0.262
B2	E	ath-miR5642b	Plant	6	0.258
B5	E	ath-miR159	Plant	6	0.272
B6	E	ath-miR159	Scramble	6	0.291
C2	E	ath-miR158b	Plant	6	0.278
C3	E	ath-miR158b	Scramble	6	0.254
C5	E	Mix5	Scramble	6	0.262
C6	E	Mix5	Plant	6	0.265
D1	E	Ctl-1	NA	6	0.072
D3	E	ath-miR158a3p	Plant	6	0.242
D4	E	ath-miR158a3p	Scramble	6	0.33
A3	E	ath-miR827	Plant	24	0.419
A4	E	ath-miR827	Scramble	24	0.352
A5	E	Ctl-2	NA	24	0.074
B1	E	ath-miR5642b	Scramble	24	0.305
B2	E	ath-miR5642b	Plant	24	0.318
B5	E	ath-miR159	Plant	24	0.313
B6	E	ath-miR159	Scramble	24	0.338
C2	E	ath-miR158b	Plant	24	0.351
C3	E	ath-miR158b	Scramble	24	0.627
C5	E	Mix5	Scramble	24	0.367
C6	E	Mix5	Plant	24	0.321
D1	E	Ctl-1	NA	24	0.075
D3	E	ath-miR158a3p	Plant	24	0.291
D4	E	ath-miR158a3p	Scramble	24	0.41
