Well_ID	Plate	Pair	miRNA	Treatment	N_Source	Time	OD540
G4	2	B	ath-miR158a3p	Scramble	Mix_AA	24	0.1699
G5	2	B	ath-miR159	Plant	Mix_AA	24	0.172399998
G6	2	B	ath-miR159	Scramble	Mix_AA	24	0.171900004
G7	2	B	Ctl-1	NA	Mix_AA	24	0.250200003
H1	2	B	Mix5	Plant	Mix_AA	24	0.1611
H2	2	B	Mix5	Scramble	Mix_AA	24	0.164800003
H3	2	B	ath-miR827	Plant	Mix_AA	24	0.178200006
H4	2	B	ath-miR827	Scramble	Mix_AA	24	0.1831
H5	2	B	ath-miR5642b	Plant	Mix_AA	24	0.179000005
H6	2	B	ath-miR5642b	Scramble	Mix_AA	24	0.173999995
H7	2	B	Ctl-2	NA	Mix_AA	24	0.250200003
A8	2	B	NA	std	500	NA	0.455000013
B8	2	B	NA	std	250	NA	0.296099991
C8	2	B	NA	std	125	NA	0.210999995
D8	2	B	NA	std	62.5	NA	0.162799999
E8	2	B	NA	std	31.3	NA	0.146899998
F8	2	B	NA	std	15.6	NA	0.118600003
G8	2	B	NA	std	0	NA	0.128099993
A9	2	B	NA	std	0	NA	0.146500006
B9	2	B	NA	std	15.6	NA	0.143800005
C9	2	B	NA	std	31.3	NA	0.143900007
D9	2	B	NA	std	62.5	NA	0.177000001
E9	2	B	NA	std	125	NA	0.229399994
F9	2	B	NA	std	250	NA	0.328299999
G9	2	B	NA	std	500	NA	0.460200012
A1	1	C	ath-miR158b	Plant	Mix_AA	0	0.271699995
A2	1	C	ath-miR158b	Scramble	Mix_AA	0	0.248300001
A3	1	C	ath-miR158a3p	Plant	Mix_AA	0	0.243900001
A4	1	C	ath-miR158a3p	Scramble	Mix_AA	0	0.2509
A5	1	C	ath-miR159	Plant	Mix_AA	0	0.254099995
A6	1	C	ath-miR159	Scramble	Mix_AA	0	0.220200002
A7	1	C	Ctl-1	NA	Mix_AA	0	0.207000002
B1	1	C	Mix5	Plant	Mix_AA	0	0.200800002
B2	1	C	Mix5	Scramble	Mix_AA	0	0.181400001
B3	1	C	ath-miR827	Plant	Mix_AA	0	0.200399995
B4	1	C	ath-miR827	Scramble	Mix_AA	0	0.182999998
B5	1	C	ath-miR5642b	Plant	Mix_AA	0	0.190799996
B6	1	C	ath-miR5642b	Scramble	Mix_AA	0	0.188299999
B7	1	C	Ctl-2	NA	Mix_AA	0	0.189400002
C1	1	C	ath-miR158b	Plant	Mix_AA	3	0.242200002
C2	1	C	ath-miR158b	Scramble	Mix_AA	3	0.216199994
C3	1	C	ath-miR158a3p	Plant	Mix_AA	3	0.217199996
C4	1	C	ath-miR158a3p	Scramble	Mix_AA	3	0.205200002
C5	1	C	ath-miR159	Plant	Mix_AA	3	0.2139
C6	1	C	ath-miR159	Scramble	Mix_AA	3	0.202099994
C7	1	C	Ctl-1	NA	Mix_AA	3	0.203500003
D1	1	C	Mix5	Plant	Mix_AA	3	0.219500005
D2	1	C	Mix5	Scramble	Mix_AA	3	0.216000006
D3	1	C	ath-miR827	Plant	Mix_AA	3	0.237399995
D4	1	C	ath-miR827	Scramble	Mix_AA	3	0.205500007
D5	1	C	ath-miR5642b	Plant	Mix_AA	3	0.217700005
D6	1	C	ath-miR5642b	Scramble	Mix_AA	3	0.215599999
D7	1	C	Ctl-2	NA	Mix_AA	3	0.218700007
E1	1	C	ath-miR158b	Plant	Mix_AA	6	0.206799999
E2	1	C	ath-miR158b	Scramble	Mix_AA	6	0.206599995
E3	1	C	ath-miR158a3p	Plant	Mix_AA	6	0.211700007
E4	1	C	ath-miR158a3p	Scramble	Mix_AA	6	0.204400003
E5	1	C	ath-miR159	Plant	Mix_AA	6	0.1963
E6	1	C	ath-miR159	Scramble	Mix_AA	6	0.196400002
E7	1	C	Ctl-1	NA	Mix_AA	6	0.212300003
