Well_ID,ASV,N_souce,miRNA,Replicate ,Dose(uM),Time,OD_600
G7,172,Mix_17aa,p158a,n2,2,8,0.572000027
G8,172,Mix_17aa,sc158a,n2,2,8,0.58160001
G9,172,Mix_17aa,sc5642b,n2,2,8,0.548300028
G10,172,Mix_17aa,p5642b,n2,2,8,0.574199975
G11,Control,Mix_17aa,Control,n2,Control,8,0.081900001
E3,6,Mix_17aa,p_mix,n2,10,9,1.16079998
E4,6,Mix_17aa,sc_mix,n2,10,9,0.892400026
E5,6,Mix_17aa,p158a,n2,2,9,1.197299957
E6,6,Mix_17aa,sc158a,n2,2,9,1.194200039
E7,172,Mix_17aa,sc827,n2,2,9,0.671700001
E8,172,Mix_17aa,p827,n2,2,9,0.675700009
E9,172,Mix_17aa,p_mix,n2,10,9,0.662
E10,172,Mix_17aa,sc_mix,n2,10,9,0.725700021
F2,Control,Mix_17aa,Control,n2,Control,9,0.083400004
F3,6,Mix_17aa,sc827,n2,2,9,1.097499967
F4,6,Mix_17aa,p827,n2,2,9,0.950999975
F5,6,Mix_17aa,p5642b,n2,2,9,1.05490005
F6,6,Mix_17aa,sc5642b,n2,2,9,1.057299972
F7,172,Mix_17aa,p159,n2,2,9,0.648100019
F8,172,Mix_17aa,sc159,n2,2,9,0.655399978
F9,172,Mix_17aa,p158b,n2,2,9,0.598399997
F10,172,Mix_17aa,sc158b,n2,2,9,0.65259999
F11,Control,Mix_17aa,Control,n2,Control,9,0.085100003
G2,Control,Mix_17aa,Control,n2,Control,9,0.074699998
G3,6,Mix_17aa,sc159,n2,2,9,1.011299968
G4,6,Mix_17aa,p159,n2,2,9,0.928499997
G5,6,Mix_17aa,sc158b,n2,2,9,0.997699976
G6,6,Mix_17aa,p158b,n2,2,9,0.961899996
G7,172,Mix_17aa,p158a,n2,2,9,0.630100012
G8,172,Mix_17aa,sc158a,n2,2,9,0.665899992
G9,172,Mix_17aa,sc5642b,n2,2,9,0.625500023
G10,172,Mix_17aa,p5642b,n2,2,9,0.634000003
G11,Control,Mix_17aa,Control,n2,Control,9,0.082400002
E3,6,Mix_17aa,p_mix,n2,10,10,1.300099969
E4,6,Mix_17aa,sc_mix,n2,10,10,1.042700052
E5,6,Mix_17aa,p158a,n2,2,10,1.348099947
E6,6,Mix_17aa,sc158a,n2,2,10,1.342100024
E7,172,Mix_17aa,sc827,n2,2,10,0.732900023
E8,172,Mix_17aa,p827,n2,2,10,0.734000027
E9,172,Mix_17aa,p_mix,n2,10,10,0.726599991
E10,172,Mix_17aa,sc_mix,n2,10,10,0.772400022
F2,Control,Mix_17aa,Control,n2,Control,10,0.083400004
F3,6,Mix_17aa,sc827,n2,2,10,1.234200001
F4,6,Mix_17aa,p827,n2,2,10,1.100000024
F5,6,Mix_17aa,p5642b,n2,2,10,1.200000048
F6,6,Mix_17aa,sc5642b,n2,2,10,1.19630003
F7,172,Mix_17aa,p159,n2,2,10,0.690400004
F8,172,Mix_17aa,sc159,n2,2,10,0.695200026
F9,172,Mix_17aa,p158b,n2,2,10,0.691799998
F10,172,Mix_17aa,sc158b,n2,2,10,0.751299977
F11,Control,Mix_17aa,Control,n2,Control,10,0.084600002
G2,Control,Mix_17aa,Control,n2,Control,10,0.074100003
G3,6,Mix_17aa,sc159,n2,2,10,1.159500003
G4,6,Mix_17aa,p159,n2,2,10,1.080500007
G5,6,Mix_17aa,sc158b,n2,2,10,1.133700013
G6,6,Mix_17aa,p158b,n2,2,10,1.113199949
G7,172,Mix_17aa,p158a,n2,2,10,0.68900001
G8,172,Mix_17aa,sc158a,n2,2,10,0.701399982
G9,172,Mix_17aa,sc5642b,n2,2,10,0.69569999
G10,172,Mix_17aa,p5642b,n2,2,10,0.700100005
G11,Control,Mix_17aa,Control,n2,Control,10,0.081900001
E3,6,Mix_17aa,p_mix,n2,10,11,1.426800013
E4,6,Mix_17aa,sc_mix,n2,10,11,1.177899957
E5,6,Mix_17aa,p158a,n2,2,11,1.490800023
E6,6,Mix_17aa,sc158a,n2,2,11,1.497599959
E7,172,Mix_17aa,sc827,n2,2,11,0.793500006
E8,172,Mix_17aa,p827,n2,2,11,0.808600008
E9,172,Mix_17aa,p_mix,n2,10,11,0.794200003
